                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.87356,                0.81735,                 1.1488,                0.95806,                0.83289,                0.92256,                0.62364,                 1.1478,                 1.0019,                 1.3181,             0.00013336,             0.00013336,             0.00013336
                      2,                0.89638,                0.81286,                 1.1898,                0.89759,                0.89575,                0.91862,                0.60015,                 1.2897,                 1.0045,                 1.4073,             0.00028058,             0.00028058,             0.00028058
                      3,                 0.9625,                 0.8417,                 1.2041,                0.85574,                0.86634,                0.90448,                0.61214,                 1.2162,                0.96969,                 1.4033,             0.00042484,             0.00042484,             0.00042484
                      4,                0.95986,                 0.8783,                 1.2341,                0.93401,                0.82734,                 0.9168,                0.60477,                 1.2427,                0.91488,                 1.4025,             0.00056612,             0.00056612,             0.00056612
                      5,                0.93366,                 0.9199,                 1.2234,                0.83743,                0.71932,                 0.7958,                0.50089,                 1.4219,                  1.136,                 1.5712,             0.00070443,             0.00070443,             0.00070443
                      6,                 1.0435,                0.94809,                 1.2857,                0.68103,                0.70564,                0.78825,                0.43558,                  1.588,                 1.4078,                 1.7653,             0.00083978,             0.00083978,             0.00083978
                      7,                 1.0175,                 1.0301,                 1.2853,                0.68807,                0.56135,                0.61776,                0.36531,                  1.595,                 1.5251,                 1.7338,             0.00097215,             0.00097215,             0.00097215
                      8,                 1.0452,                0.97313,                 1.2958,                0.46861,                0.02887,                0.02358,                0.01621,                 3.5672,                 247.42,                   10.4,              0.0011015,              0.0011015,              0.0011015
                      9,                   1.15,                 1.0716,                 1.3436,                0.23705,                0.03488,                0.03262,                 0.0224,                 2.9005,                 13.672,                  4.572,               0.001228,               0.001228,               0.001228
                     10,                 1.0751,                 1.0384,                 1.3177,                0.00374,                0.01163,                0.00028,                0.00023,                 4.4698,                    inf,                 11.871,              0.0013514,              0.0013514,              0.0013514
                     11,                 1.0898,                 1.0692,                 1.3274,                0.02298,                0.05213,                0.00461,                0.00265,                 2.7569,                 133.48,                 2.9114,              0.0014719,              0.0014719,              0.0014719
                     12,                 1.0899,                 1.1257,                  1.315,                0.01529,                0.02326,                0.00507,                0.00309,                 3.0192,                 22.312,                  3.173,              0.0014855,              0.0014855,              0.0014855
                     13,                  1.089,                 1.1766,                 1.3149,                0.43284,                0.51642,                 0.3014,                0.17189,                 1.7199,                 3.5844,                 1.8015,               0.001469,               0.001469,               0.001469
                     14,                  1.171,                 1.1335,                 1.3334,                0.59956,                0.69447,                0.65826,                0.42881,                 1.3718,                 1.5804,                 1.5403,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.0801,                 1.0551,                   1.33,                 0.6392,                0.64526,                0.73398,                0.44741,                 1.4762,                 1.7176,                 1.5957,               0.001436,               0.001436,               0.001436
                     16,                 1.1642,                 1.1527,                 1.3423,                0.46072,                0.49654,                0.37615,                0.20513,                 1.8308,                 4.2694,                 1.9722,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.0832,                 1.0814,                 1.2855,                0.08564,                0.19126,                0.04046,                0.02357,                 2.7696,                 6.7523,                 3.7257,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.1115,                 1.0406,                 1.3269,                0.67622,                0.47062,                0.58958,                 0.3222,                 1.7256,                 1.9912,                 1.9206,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.0816,                 1.0621,                 1.3175,                0.76333,                0.48998,                0.63066,                0.36602,                 1.6716,                 1.6817,                 1.8104,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.0766,                 1.0511,                  1.341,                0.56416,                0.39936,                0.45548,                0.27414,                 1.6419,                 2.4437,                 1.8544,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.0878,                 1.0161,                 1.3132,                0.61786,                0.48356,                0.51962,                 0.2789,                  1.633,                 2.6559,                 1.7006,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.1101,                 1.0169,                 1.2993,                0.46207,                0.47514,                0.38124,                0.20542,                 1.7651,                 2.7911,                 1.8265,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.0911,                 1.0158,                 1.3059,                0.63736,                0.56696,                0.59996,                0.35162,                 1.6559,                 1.6493,                 1.8046,              0.0013039,              0.0013039,              0.0013039
                     24,                   1.16,                 1.0845,                  1.345,                0.76471,                0.76905,                0.72398,                0.45576,                 1.3761,                 1.5343,                 1.5251,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.0461,                 1.0259,                 1.2881,                0.75878,                0.82029,                0.78256,                0.48159,                 1.3834,                 1.3319,                 1.5551,              0.0012709,              0.0012709,              0.0012709
                     26,                 1.0297,                0.97392,                 1.2863,                0.90751,                0.84164,                0.88466,                0.58243,                 1.2816,                 1.0558,                 1.4715,              0.0012544,              0.0012544,              0.0012544
                     27,                  1.013,                0.92887,                 1.2615,                0.91265,                0.81987,                0.90911,                0.58445,                 1.2745,                 1.0514,                 1.4258,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.0767,                 1.0272,                 1.2931,                0.80373,                0.84658,                0.85517,                0.54635,                 1.2543,                 1.1532,                 1.4215,              0.0012214,              0.0012214,              0.0012214
                     29,                 1.0405,                0.94305,                 1.2644,                0.85901,                0.85179,                0.89395,                0.56619,                 1.3057,                 1.1593,                 1.4548,              0.0012049,              0.0012049,              0.0012049
                     30,                0.99036,                0.86323,                 1.2117,                   0.87,                0.83503,                0.89633,                0.60121,                 1.2629,                 1.1084,                 1.4152,              0.0011884,              0.0011884,              0.0011884
                     31,                 0.9989,                0.95088,                 1.2698,                 0.7637,                0.74478,                0.83768,                0.56613,                 1.2859,                 1.3786,                 1.4282,              0.0011719,              0.0011719,              0.0011719
                     32,                 1.0004,                0.91031,                 1.2537,                0.81855,                0.78548,                0.89131,                0.56863,                 1.3339,                  1.238,                 1.4529,              0.0011554,              0.0011554,              0.0011554
                     33,                 1.0046,                0.89338,                 1.2871,                 0.8075,                0.80831,                0.88279,                 0.5689,                 1.2846,                 1.0865,                 1.4051,              0.0011389,              0.0011389,              0.0011389
                     34,                0.97154,                0.85746,                 1.2082,                0.83551,                0.83638,                0.89849,                0.57516,                 1.2675,                 1.0377,                 1.3926,              0.0011224,              0.0011224,              0.0011224
                     35,                0.98625,                 0.8843,                 1.2452,                0.91902,                0.79633,                0.91821,                0.56009,                 1.3707,                0.98325,                 1.5149,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.0424,                0.85906,                 1.2765,                0.90151,                0.80874,                 0.9001,                0.57777,                 1.3157,                0.97669,                 1.4746,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.0383,                0.90055,                 1.2894,                0.89858,                0.84516,                0.91022,                 0.6108,                 1.2445,                0.96865,                 1.4294,              0.0010729,              0.0010729,              0.0010729
                     38,                0.99958,                0.87536,                 1.2647,                0.90573,                 0.8689,                0.90728,                0.62185,                 1.2416,                0.98912,                 1.4189,              0.0010564,              0.0010564,              0.0010564
                     39,                0.96182,                0.90181,                 1.2603,                0.88945,                0.84689,                0.89411,                0.59628,                 1.2332,                  1.024,                 1.4038,              0.0010399,              0.0010399,              0.0010399
                     40,                0.99796,                 0.8884,                 1.2608,                0.89591,                0.83236,                0.90797,                0.60793,                 1.2276,                0.91446,                 1.4032,              0.0010234,              0.0010234,              0.0010234
                     41,                0.97613,                0.86984,                 1.2358,                0.91336,                0.89014,                 0.9054,                0.60996,                 1.2107,                 1.0217,                 1.4165,              0.0010069,              0.0010069,              0.0010069
                     42,                 0.9401,                0.82192,                 1.2135,                0.87979,                0.86299,                0.88798,                0.59488,                 1.2775,                 1.0518,                 1.4625,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.0125,                  0.864,                 1.2789,                0.86676,                0.82395,                0.87043,                0.59661,                 1.2363,                 1.0099,                 1.3962,             0.00097386,             0.00097386,             0.00097386
                     44,                0.97248,                0.87778,                 1.2194,                0.89325,                0.76021,                0.83279,                0.52065,                 1.4067,                 1.1202,                 1.5384,             0.00095736,             0.00095736,             0.00095736
                     45,                  1.006,                 0.8607,                 1.2644,                 0.8981,                0.83853,                0.88362,                0.57706,                 1.2969,                 1.0315,                 1.4328,             0.00094085,             0.00094085,             0.00094085
                     46,                0.93489,                0.81001,                 1.1542,                0.91829,                0.83841,                0.87134,                0.58212,                 1.2191,                 0.9246,                 1.3389,             0.00092435,             0.00092435,             0.00092435
                     47,                0.93141,                 0.7748,                 1.2335,                0.87542,                0.80954,                0.84968,                0.55234,                 1.2806,                0.99659,                 1.3803,             0.00090785,             0.00090785,             0.00090785
                     48,                0.97096,                0.77654,                 1.2293,                0.83711,                0.82378,                0.86932,                0.57198,                 1.3323,                 1.0598,                  1.444,             0.00089134,             0.00089134,             0.00089134
                     49,                 0.9339,                0.81652,                 1.2277,                0.90907,                0.87455,                0.92527,                0.60136,                  1.324,                0.91184,                 1.4523,             0.00087484,             0.00087484,             0.00087484
                     50,                0.95725,                0.82435,                 1.2338,                0.93721,                0.88601,                0.93969,                0.61397,                 1.2489,                0.85018,                 1.4096,             0.00085834,             0.00085834,             0.00085834
                     51,                0.93973,                0.84044,                 1.2289,                  0.914,                0.84993,                0.92933,                  0.594,                 1.2716,                0.90613,                 1.4548,             0.00084184,             0.00084184,             0.00084184
                     52,                0.89031,                0.75655,                 1.1913,                0.87645,                 0.7453,                0.86959,                0.55507,                 1.3048,                 1.0762,                 1.4647,             0.00082533,             0.00082533,             0.00082533
                     53,                0.89941,                0.78416,                 1.1914,                0.84775,                0.88389,                0.91195,                0.58351,                 1.2914,                0.99589,                 1.4662,             0.00080883,             0.00080883,             0.00080883
                     54,                0.92602,                 0.7481,                 1.2031,                0.92919,                0.87289,                0.91219,                0.60621,                 1.2224,                0.91218,                 1.3831,             0.00079233,             0.00079233,             0.00079233
                     55,                0.85915,                0.73185,                 1.1692,                0.92151,                0.87289,                0.90518,                0.61455,                 1.1665,                0.89571,                 1.3032,             0.00077582,             0.00077582,             0.00077582
                     56,                0.88566,                 0.7454,                  1.177,                0.90882,                0.87075,                0.92081,                0.62701,                 1.1586,                0.84036,                 1.3475,             0.00075932,             0.00075932,             0.00075932
                     57,                0.88031,                0.75089,                 1.1855,                 0.9418,                0.85565,                 0.9369,                0.64654,                 1.2061,                0.83385,                 1.3873,             0.00074282,             0.00074282,             0.00074282
                     58,                0.83752,                0.71956,                 1.1487,                0.92867,                0.90819,                0.92703,                 0.6294,                 1.2243,                0.85644,                 1.4256,             0.00072631,             0.00072631,             0.00072631
                     59,                0.87367,                0.84224,                 1.1925,                0.89977,                0.87512,                0.91944,                0.63204,                 1.1987,                0.89678,                 1.4027,             0.00070981,             0.00070981,             0.00070981
                     60,                0.88278,                0.70267,                 1.1848,                0.94335,                0.89587,                0.91363,                0.62984,                 1.1774,                0.83351,                 1.3742,             0.00069331,             0.00069331,             0.00069331
                     61,                0.86639,                0.71946,                 1.1545,                0.92342,                0.89722,                0.92262,                0.61405,                 1.2356,                0.83396,                 1.3839,              0.0006768,              0.0006768,              0.0006768
                     62,                0.82653,                 0.7088,                 1.1411,                0.92393,                0.89938,                0.92205,                0.61485,                 1.1924,                0.83901,                 1.3369,              0.0006603,              0.0006603,              0.0006603
                     63,                0.89123,                0.75949,                 1.1636,                0.94378,                 0.8697,                0.91463,                0.61442,                 1.2121,                0.85846,                 1.3483,              0.0006438,              0.0006438,              0.0006438
                     64,                0.86435,                0.72068,                 1.1677,                0.93627,                0.85624,                0.91802,                0.62899,                 1.1638,                0.82818,                 1.3229,             0.00062729,             0.00062729,             0.00062729
                     65,                0.86452,                0.69447,                 1.1836,                0.94688,                0.87289,                0.92211,                0.63756,                 1.1589,                0.81263,                  1.316,             0.00061079,             0.00061079,             0.00061079
                     66,                0.89575,                0.72738,                 1.2011,                 0.9442,                0.89014,                0.92824,                0.64237,                 1.1742,                0.81363,                 1.3371,             0.00059429,             0.00059429,             0.00059429
                     67,                 0.8025,                0.64996,                 1.1074,                 0.9422,                0.88642,                0.91999,                0.64042,                 1.1804,                0.83432,                 1.3625,             0.00057778,             0.00057778,             0.00057778
                     68,                0.83811,                0.72263,                 1.1624,                 0.8755,                0.88842,                0.91165,                0.61159,                 1.2147,                 0.9443,                 1.3721,             0.00056128,             0.00056128,             0.00056128
                     69,                0.80925,                0.65702,                 1.1356,                0.93583,                0.89847,                0.92622,                0.62929,                  1.234,                0.84457,                 1.3896,             0.00054478,             0.00054478,             0.00054478
                     70,                0.80554,                 0.6924,                 1.1451,                0.89213,                0.88546,                0.91661,                0.62653,                 1.2041,                0.91979,                  1.375,             0.00052827,             0.00052827,             0.00052827
                     71,                0.77437,                0.67151,                 1.1211,                0.89276,                0.86869,                0.90714,                0.61783,                 1.1724,                0.99071,                 1.3487,             0.00051177,             0.00051177,             0.00051177
                     72,                0.74947,                0.71659,                  1.109,                0.91982,                0.84286,                0.90903,                0.62427,                 1.1511,                 1.0112,                 1.3359,             0.00049527,             0.00049527,             0.00049527
                     73,                0.79372,                0.67083,                 1.1477,                0.91156,                0.86986,                0.92195,                0.63096,                 1.1587,                0.94323,                 1.3303,             0.00047876,             0.00047876,             0.00047876
                     74,                0.78573,                0.61556,                 1.1435,                0.96006,                0.87851,                0.93954,                0.64249,                 1.1611,                0.90748,                  1.315,             0.00046226,             0.00046226,             0.00046226
                     75,                0.78604,                0.61125,                 1.1229,                0.96352,                0.88825,                0.94001,                0.65522,                 1.1559,                0.84306,                 1.3126,             0.00044576,             0.00044576,             0.00044576
                     76,                0.80913,                0.67772,                  1.136,                0.96003,                0.87851,                0.93708,                 0.6407,                 1.1641,                0.82317,                  1.339,             0.00042925,             0.00042925,             0.00042925
                     77,                0.79819,                0.66424,                 1.1223,                0.95076,                0.89014,                0.93334,                 0.6527,                 1.1526,                0.85295,                 1.3233,             0.00041275,             0.00041275,             0.00041275
                     78,                0.79231,                0.63267,                  1.145,                0.94664,                0.88827,                0.93157,                0.64337,                 1.1483,                0.83956,                 1.3187,             0.00039625,             0.00039625,             0.00039625
                     79,                0.79508,                 0.6134,                 1.1189,                0.95416,                0.88358,                0.93459,                0.65055,                 1.1602,                0.84656,                 1.3228,             0.00037974,             0.00037974,             0.00037974
                     80,                0.79029,                0.67636,                 1.1706,                0.96117,                0.87401,                0.92764,                0.64421,                 1.1899,                0.86007,                 1.3537,             0.00036324,             0.00036324,             0.00036324
                     81,                0.76451,                0.64368,                 1.1351,                0.91395,                0.89014,                  0.917,                0.63256,                   1.18,                0.90335,                 1.3479,             0.00034674,             0.00034674,             0.00034674
                     82,                0.73985,                0.61114,                  1.096,                 0.9367,                0.89014,                0.92635,                 0.6463,                 1.1618,                0.86376,                 1.3182,             0.00033023,             0.00033023,             0.00033023
                     83,                0.79925,                0.62826,                 1.1263,                0.93445,                0.89014,                0.93405,                0.65893,                 1.1378,                0.79533,                  1.302,             0.00031373,             0.00031373,             0.00031373
                     84,                 0.7522,                0.64021,                 1.1279,                0.94022,                0.87851,                0.94282,                0.66802,                 1.1374,                0.74531,                 1.3174,             0.00029723,             0.00029723,             0.00029723
                     85,                 0.7769,                0.63415,                 1.1179,                0.96325,                0.88594,                 0.9461,                0.67302,                 1.1547,                0.74791,                  1.323,             0.00028072,             0.00028072,             0.00028072
                     86,                0.72355,                0.59748,                 1.0981,                0.96344,                0.88986,                0.94223,                 0.6669,                 1.1704,                0.76598,                 1.3256,             0.00026422,             0.00026422,             0.00026422
                     87,                0.72416,                0.58802,                 1.0988,                0.95064,                0.89014,                0.93946,                0.66213,                 1.1732,                0.82356,                 1.3239,             0.00024772,             0.00024772,             0.00024772
                     88,                0.70896,                0.60904,                 1.0779,                0.95166,                0.89274,                0.94416,                0.65462,                 1.1741,                0.83606,                 1.3253,             0.00023121,             0.00023121,             0.00023121
                     89,                0.71115,                0.58816,                 1.0873,                0.93273,                0.89014,                0.93941,                0.65212,                 1.1805,                0.82527,                 1.3386,             0.00021471,             0.00021471,             0.00021471
                     90,                0.73567,                0.59596,                 1.1375,                0.94112,                0.89014,                0.93222,                0.65756,                 1.1841,                0.82369,                 1.3368,             0.00019821,             0.00019821,             0.00019821
                     91,                0.64055,                0.49944,                 1.0336,                0.94512,                0.89014,                0.93174,                 0.6569,                 1.1875,                0.84351,                 1.3307,              0.0001817,              0.0001817,              0.0001817
                     92,                0.62553,                0.45722,                 1.0148,                0.97766,                0.87851,                0.92581,                0.66526,                 1.1722,                0.81805,                 1.3151,              0.0001652,              0.0001652,              0.0001652
                     93,                0.60747,                0.44703,                0.99558,                0.98115,                0.87851,                0.91358,                0.66967,                 1.1559,                0.82816,                 1.3093,              0.0001487,              0.0001487,              0.0001487
                     94,                0.62339,                  0.445,                0.98289,                 0.9821,                0.87708,                0.91305,                0.67229,                 1.1504,                0.82199,                 1.3108,             0.00013219,             0.00013219,             0.00013219
                     95,                0.63405,                0.46601,                 1.0205,                0.97726,                0.87398,                0.92071,                0.67517,                 1.1441,                0.81309,                  1.311,             0.00011569,             0.00011569,             0.00011569
                     96,                0.59914,                0.43609,                0.99389,                0.94999,                0.87851,                0.92888,                0.66706,                 1.1306,                0.79375,                 1.3128,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.56463,                0.41933,                0.98658,                0.93135,                0.89959,                0.94159,                0.66088,                  1.128,                0.77951,                 1.3168,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.58114,                0.40922,                0.97247,                 0.9314,                0.89982,                 0.9493,                0.66742,                 1.1213,                0.78978,                 1.3172,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.54843,                 0.4179,                0.95762,                0.93228,                0.90013,                0.94794,                0.66723,                 1.1251,                0.78476,                 1.3204,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.58172,                0.41381,                0.95508,                0.93161,                 0.8998,                0.94771,                0.66479,                 1.1312,                0.78415,                 1.3264,             3.3173e-05,             3.3173e-05,             3.3173e-05
